Program ID,Country,University (Select from list),Campus (where aplicable),Department /Institute Name,Academic Degree Granted                      (Select from list),Program Name en Castellano,Program Name,Creation Year,Activo (si/no),Program Web Site
,Mexico,Instituto Tecnologico y de Estudios Superiores de Monterrey,Ciudad de Mexico,Escuela de Graduados en Ingenieria y Arquitectura,Maestria,,Master in Computer Science,,,http://www.itesm.edu/wps/portal?WCM_GLOBAL_CONTEXT=/migration/CCM2/Ciudad+de+M_xico/Programas+educativos/Maestr_as/Escuela+de+Graduados+en+Ingenier_a+y+Arquitectura+-+EGIA/Maestr_a+en+Ciencias+Computacionales
,Mexico,Instituto Tecnologico y de Estudios Superiores de Monterrey,Ciudad de Mexico,Escuela de Graduados en Ingenieria y Arquitectura,Maestria,,Master's degree in Telecommunications Management,1998,,http://www.itesm.edu/wps/portal?WCM_GLOBAL_CONTEXT=/migration/CCM2/Ciudad+de+M_xico/Programas+educativos/Maestr_as/Escuela+de+Graduados+en+Ingenier_a+y+Arquitectura+-+EGIA/Maestr_a+en+Administraci_n+de+las+Telecomunicaciones
,Mexico,Instituto Tecnologico y de Estudios Superiores de Monterrey,Estado de Mexico,Tecnologias de Informacion y Electronica,Maestria,,Master's degree in Computer Science,,,http://www.itesm.edu/wps/portal?WCM_GLOBAL_CONTEXT=/migration/CEM2/Estado+de+M_xico/Programas+educativos/Maestr_as/Tecnolog_as+de+Informaci_n+y+Electr_nica/Maestr_a+en+Ciencias+de+la+Computaci_n
,Mexico,Instituto Tecnologico y de Estudios Superiores de Monterrey,Estado de Mexico,Tecnologias de Informacion y Electronica,Maestria,,Master in Management of Information Technologies,,,http://www.itesm.edu/wps/portal?WCM_GLOBAL_CONTEXT=/migration/CEM2/Estado+de+M_xico/Programas+educativos/Maestr_as/Tecnolog_as+de+Informaci_n+y+Electr_nica/Maestr_a+en+Administraci_n+de+Tecnolog_as+de+Informaci_n
,Mexico,Instituto Tecnologico y de Estudios Superiores de Monterrey,Estado de Mexico,Ingenieria y Arquitectura,Doctorado,,Doctorate in Computer Science,,,http://www.itesm.edu/wps/portal?WCM_GLOBAL_CONTEXT=/migration/CEM2/Estado+de+M_xico/Programas+educativos/Doctorados/Ingenier_a+y+Arquitectura/Doctorado+en+Ciencias+Computacionales
,Mexico,Instituto Tecnologico y de Estudios Superiores de Monterrey,Ciudad de Mexico,Escuela de Graduados en Ingenieria y Arquitectura,Doctorado,,Doctorate in Computer Science,,,http://www.ccm.itesm.mx/egia07/bienvdcc.html
,Mexico,Instituto Tecnologico y de Estudios Superiores de Monterrey,Cuernavaca,Tecnologias de Informacion y Electronica,Doctorado,,Doctorate in Computer Science,,,http://www.itesm.edu/wps/portal?WCM_GLOBAL_CONTEXT=/migration/CVA2/Cuernavaca/Programas+educativos/Doctorados/Programas+en+el+_rea+de+Tecnolog_as+de+Informaci_n+y+Electr_nica/Doctorado+en+Ciencias+Computacionales
,Mexico,Instituto Tecnologico y de Estudios Superiores de Monterrey,Monterrey,Mecatronica y Tecnologias de Informacion,Doctorado,,Doctorate in Information Technology and Communications,,,http://www.itesm.edu/wps/portal?WCM_GLOBAL_CONTEXT=/migration/MTY2/Monterrey/Programas+educativos/Doctorados/Programas+doctorales/DTC+Doctorado+en+Tecnolog_as+de+Informaci_n+y+Comunicaciones
,Mexico,Instituto Tecnologico y de Estudios Superiores de Monterrey - Universidad Virtual,Universidad Virtual,Mecatronica y Tecnologias de Informacion,Maestria,,Master in Management of Information Technologies,,,http://www.ruv.itesm.mx/portal/promocion/oe/m/mti/
,Mexico,Instituto Tecnologico y de Estudios Superiores de Monterrey - Universidad Virtual,Universidad Virtual,Mecatronica y Tecnologias de Informacion,Maestria,,Master of Science in Information Technology Dual Degree with Carnegie Mellon University,,,http://www.ruv.itesm.mx/portal/promocion/oe/m/mti_doubledegree/homedoc.htm
,Mexico,Laboratorio Nacional de Informatica Avanzada,Xalapa,Centro de Ensenanza LANIA,Maestria,,Master in Applied Computing,,,http://www.lania.edu.mx//index.php?option=com_content&task=view&id=17&Itemid=38
,Mexico,Laboratorio Nacional de Informatica Avanzada,Xalapa,Centro de Ensenanza LANIA,Maestria,,Master's degree in Integrated systems and Networks,,,http://www.lania.edu.mx//index.php?option=com_content&task=view&id=42&Itemid=65
,Mexico,Universidad Autonoma de Baja California,Ensenada,Posgrado e Investigacion,Maestria,,Master in Information Technologies and Communication,,,http://cimarron.mxl.uabc.mx/posgrado/test3.php?nposg=242
,Mexico,Universidad Autonoma de Guerrero,,,Maestria,,Master's degree in Computing,,,http://www.uagro.mx/template/index.php?option=com_content&view=article&id=477&Itemid=634
,Mexico,Universidad Autonoma de Queretaro ,,Facultad de informatica,Maestria,,Master's degree in Distribution Software Engineering,,,http://www.uaq.mx/ofertaeducativa/informatica/maes_software.html
,Mexico,Universidad Autonoma de Queretaro ,,Facultad de informatica,Maestria,,Master's degree in Information Systems: Management and Technology,,,http://www.uaq.mx/ofertaeducativa/informatica/maes_sistemas.html
,Mexico,Universidad Autonoma de San Luis Potosi ,,Facultad de ingenieria,Maestria,,Master in Computer Engineering,,,http://portal.uaslp.mx/SPANISH/ADMINISTRACION/SIP/POSGRADO/PROGEDUC/PROGRAMASPOSGRADO/Paginas/default.aspx
,Mexico,Universidad Autonoma de Tamaulipas,Tampico-Madero,Facultad de Comercio y Administracion,Maestria,,Master's degree in Information Technology,,,http://rectoria.uat.edu.mx/investigacionyposgrado/posgrado/Catalogo.pdf
,Mexico,Universidad Autonoma de Tamaulipas,Reynosa,Unidad Academica Multidisciplinaria,Maestria,,"Master of Science in Electronics Engineering, with degree in Computing",,,http://rectoria.uat.edu.mx/investigacionyposgrado/posgrado/Catalogo.pdf
,Mexico,Universidad Autonoma de Tlaxcala ,,Facultad de Ciencias Basicas Ingenieria y Tecnologia ,Maestria,,Master of Science in Computer Engineering,1998,,http://www.uatx.mx/oferta_academica/index.php?programa=61&width=1280&height=1024
,Mexico,Universidad Autonoma de Zacatecas,,,Maestria,,Master in Engineering with degree on Digital Processing of Signals,,,http://www.uaz.edu.mx/maestriaingenieria/
,Mexico,Universidad Autonoma de Zacatecas ,,,Maestria,,Master in Engineering with degree in Computing,,,http://www.uaz.edu.mx/maestriaingenieria/
,Mexico,Universidad Autonoma del Estado De Hidalgo,,Area Academica de Ciencias Computacionales,Doctorado,,Doctorate in Computer Science,,,http://www.uaeh.edu.mx/campus/icbi/oferta/doctorados/icbicienciascomputacionales.html
,Mexico,Universidad Autonoma del Estado De Hidalgo ,,Area Academica de Ciencias Computacionales,Maestria,,Master's degree in Computer Science,,,http://www.uaeh.edu.mx/campus/icbi/oferta/maestrias/computacion.html
,Mexico,Universidad Autonoma del Estado De Mexico,,,Maestria,,Master in Computer Science,,,http://www.uaemex.mx/pestud/mae_doc/ingenieria/MaeInf.html
,Mexico,Universidad Autonoma del Estado De Mexico ,,,Maestria,,Master in Computer Science,,,http://www.uaemex.mx/pestud/mae_doc/maestrias%20y%20doctorados/CU%20Texcoco/Mtria%20en%20Ciencias%20de%20la%20Computacion.pdf
,Mexico,Universidad Autonoma Metropolitana,,Ciencias Basicas e Ingenieria,Maestria,,Master in Computer Science,,,http://posgradoscbi.azc.uam.mx/coordinacion.htm
,Mexico,Universidad Autonoma Metropolitana,,Ciencias Basicas e Ingenieria,Maestria,,Master in Sciences and Information Technology,,,http://mcyti.izt.uam.mx/
,Mexico,Universidad de Colima,,Facultad de Telematica,Maestria,,Master in Information Technologies,,,http://www.ucol.mx/docencia/planes-estudio/documentos/M-196.pdf
,Mexico,Universidad de Colima ,,Facultad de Telematica,Maestria,,Master in Computer Science,,,http://www.ucol.mx/docencia/planes-estudio/documentos/M-123.pdf
,Mexico,Universidad de Guadalajara,,,Maestria,,Master's degree in Electrical Engineering and Computer Science,,,http://www.udg.mx/archivos_descarga/posgrados2010/maestrias/30.pdf
,Mexico,Universidad de Las Americas-Puebla,,,Maestria,,Master's degree in Computer Science,,,http://www.udlap.mx/ofertaacademica/maestrias/cienciasdelacomputacion/
,Mexico,Universidad de Las Americas-Puebla,,,Doctorado,,Doctorate in Computer Science,,,http://www.udlap.mx/ofertaacademica/doctorados/cienciasdelacomputacion/
